"GSS_CODE","proportion_brownfield"
"E05000553",0.0387040752554504
"E05000545",0.00478902013632901
"E05000546",0.034461480768773
"E05000544",0.0729461377273621
"E05000541",0.0167289274336377
"E05000540",0.135809047826192
"E05000543",0.00269296177176608
"E05000550",0.0272412243382799
"E05000536",0.0358820314076297
"E05000542",0.101214508628533
"E05000549",0.0856563028327226
"E05000552",0.0904407706971194
"E05000537",0.0130677698995835
"E05000437",0.0330893457564663
"E05000453",0
"E05000442",0.00111548636662195
"E05000454",0
"E05000438",0.00250598049321711
"E05000452",0.0093949236080839
"E05000444",0.0048629826847463
"E05000450",0
"E05000451",0.0622875930137568
"E05000440",0.0150143717481522
"E05000441",0
"E05000446",0
"E05000448",0.0392135008185003
"E05000439",0.00481673820106154
"E05000449",0.0944116285726778
"E05000445",0.00228081755522826
"E05000447",0.00315728570995232
"E05000443",0.161869505135135
"E05000224",0
"E05000217",0
"E05000219",0
"E05000227",0
"E05000225",0.167272382721488
"E05000230",0.0626761904098427
"E05000222",0.0130497221139527
"E05000220",0
"E05000215",0
"E05000223",0
"E05000218",0.00166888470845939
"E05000216",0
"E05000229",0
"E05000226",0
"E05000221",0.00964890735346516
"E05000228",0.0761305237503776
"E05000214",0.00419271601522362
"E05000078",0.000990952105994117
"E05000066",7.41854088005938e-09
"E05000072",0.00354332405680228
"E05000083",0
"E05000081",0.00310671530288458
"E05000071",0.0262607241857049
"E05000079",0.0018738150260371
"E05000075",0.0473224271454616
"E05000065",0.0170201753552355
"E05000084",0
"E05000076",0.00260903296025078
"E05000074",0
"E05000067",0.000654474493830103
"E05000073",0.00358008668028957
"E05000069",0.00168534294439303
"E05000082",0
"E05000068",0
"E05000080",0
"E05000064",0.000590663475700276
"E05000070",0
"E05000077",0
"E05000195",0.000608862022799161
"E05000213",0.00382199011467284
"E05000196",0.00224029460654359
"E05000202",0.00613800042307937
"E05000212",0.031489860746358
"E05000205",0.0241380346996701
"E05000197",0.0120810422847897
"E05000204",0.0118919653555351
"E05000200",0.00238618593285627
"E05000203",0.00499359296698743
"E05000206",0.00786946126744333
"E05000198",0.00395105385079327
"E05000193",0.0731373071092018
"E05000209",0.043337932117466
"E05000208",0.00045370325284244
"E05000201",1.67714910711128e-05
"E05000194",0
"E05000210",0
"E05000207",0.000970727571198354
"E05000211",0.00574430309286324
"E05000199",0.0375130749309597
"E05000604",0.00266610887938339
"E05000599",0.0113172621109367
"E05000600",0.0234891023506294
"E05000607",0.00369035467025026
"E05000593",0.000455536103920311
"E05000591",0.00482669637057813
"E05000603",0.00378955529814902
"E05000606",0.000745336433048407
"E05000596",0.0086604034724614
"E05000595",0.0900092126257911
"E05000608",0.0776754385759421
"E05000601",0
"E05000609",0
"E05000592",0
"E05000597",0.0226713242491529
"E05000590",0
"E05000602",0
"E05000594",0
"E05000598",0
"E05000605",0.000868138827977803
"E05000515",0.000529694502905504
"E05000502",0.046797638650528
"E05000510",0.0177163683568359
"E05000511",0.0158120861825652
"E05000503",0.000284346978458663
"E05000505",0.00191685257048909
"E05000495",0.00722449138366147
"E05000497",0.0780944705684349
"E05000506",0.0396550708863251
"E05000507",0.0367487478252877
"E05000501",0.0402383172740251
"E05000508",0.0115544154706033
"E05000514",0.013596352693687
"E05000512",0.0121619476956831
"E05000513",0.00291141346154033
"E05000500",0.0030667284996031
"E05000499",0.0167357901757898
"E05000496",0.00380271951547109
"E05000504",0.00280021337836601
"E05000498",0.0135998107551764
"E05000509",0.00598253143440292
"E05000559",0.0309244921311106
"E05000560",0.00059268011337564
"E05000556",0.000926306735169512
"E05000562",0
"E05000571",0.00915586747915957
"E05000557",0
"E05000561",0.00293274617008442
"E05000572",9.68998491420364e-06
"E05000566",0.00311621488627038
"E05000567",0.00294969166296888
"E05000564",0.0242341539364915
"E05000558",0.00318178550514546
"E05000565",0.00143078486224715
"E05000563",0.00282739175289468
"E05000568",0
"E05000570",0.00763311256969455
"E05000569",0
"E05000555",0.0107353402305134
"E05000520",0.00625056642692703
"E05000530",0.000939375874678218
"E05000522",0.0493723642921524
"E05000523",0
"E05000531",0.00668301720122035
"E05000519",0.00941372348510738
"E05000526",0.00310481900953904
"E05000524",0.000517755900976978
"E05000517",0.000448709940494337
"E05000525",0.0217871401794192
"E05000521",0
"E05000518",0.00189256268481577
"E05000532",0.00501910527375565
"E05000533",0
"E05000529",0.000971120320064644
"E05000527",0.0799088374428405
"E05000528",0.00836901563988291
"E05000516",0
"E05000456",0
"E05000458",0.00267702264752748
"E05000472",0.00459013458314116
"E05000474",0.00058256634713298
"E05000465",0
"E05000473",0.0207029256254861
"E05000469",0.00479342096058227
"E05000459",0
"E05000470",0.00573031607093454
"E05000468",0.00211332395749944
"E05000466",0.0106330722019696
"E05000455",0.00114223788949802
"E05000460",0.032261664782879
"E05000467",0.00741118060625096
"E05000461",0
"E05000464",0.0467500233774417
"E05000462",0.0142217717574798
"E05000471",0.0047453882277955
"E05000463",0.00153097097095142
"E05000457",0.00591964132769919
"E05000621",0.00654882310647744
"E05000625",0.0187021261836272
"E05000627",0.121031570850529
"E05000628",0.00506694735801301
"E05000629",0.00270090886608425
