"GSS_CODE","Road_Lnight_London_>=70.0","Road_LAeq_16h_London_>=75.0","Road_Lden_London_>=75.0","Rail_Lnight_London_50.0-54.9","Road_Lnight_London_50.0-54.9","Rail_LAeq_16h_London_55.0-59.9","Rail_Lnight_London_55.0-59.9","Rail_Lden_London_55.0-59.9","Road_Lnight_London_55.0-59.9","Road_LAeq_16h_London_55.0-59.9","Road_Lden_London_55.0-59.9","Rail_Lden_London_60.0-64.9","Rail_LAeq_16h_London_60.0-64.9","Rail_Lnight_London_60.0-64.9","Road_Lnight_London_60.0-64.9","Road_LAeq_16h_London_60.0-64.9","Road_Lden_London_60.0-64.9","Road_Lnight_London_65.0-69.9","Rail_Lnight_London_65.0-69.9","Rail_Lden_London_65.0-69.9","Rail_LAeq_16h_London_65.0-69.9","Road_LAeq_16h_London_65.0-69.9","Road_Lden_London_65.0-69.9","Rail_Lden_London_70.0-74.9","Road_LAeq_16h_London_70.0-74.9","Road_Lden_London_70.0-74.9","Rail_Lden_London_>=75.0","Rail_LAeq_16h_London_70.0-74.9","Rail_Lnight_London_>=70.0","Rail_LAeq_16h_London_>=75.0"
"E05000303",0,0.000424590262950856,0.00463173361128596,0,0.0542521301880184,0,0,0,0.0322753581192323,0.0606101501596033,0.0829953649153687,0,0,0,0.0280414249407323,0.0325664929743604,0.0408727365484289,0.00580811796997714,0,0,0,0.0282765273617877,0.0304486767516221,0,0.0233164143434035,0.0265427317475506,0,0,0,0
"E05000286",0.0175334615509859,0.0151502351664977,0.0274057437904062,0,0.231464578205935,0,0,0,0.102834367996379,0.184524541217624,0.256179673067214,0,0,0,0.0494119146426208,0.07038697263471,0.156001729718878,0.0196199697452626,0,0,0,0.0453460611760979,0.0654523780678769,0,0.0300726157127994,0.0390660423539873,0,0,0,0
"E05000300",0,0,0,0,0.00896056846589004,0,0,0,0.0106920140124893,0.0114857611965867,0.0139138064893626,0,0,0,0.0165558078753763,0.00769689159282938,0.0084719648962825,2.68866815901915e-05,0,0,0,0.0141135165959759,0.0115439952656612,0,0.00989096231203847,0.0146847814413737,0,0,0,0
"E05000301",0,0,1.25607471306621e-05,0,0.013414565211705,0,0,0,0.0150084250389633,0.0166200524017235,0.0217791823223646,0,0,0,0.0178634876517114,0.00992312690049229,0.0120866647365288,0.000295971290175588,0,0,0,0.0164826337563312,0.015071630697412,0,0.0128719147345295,0.0170865040805131,0,0,0,0
"E05000305",0,0.000130399825408645,0.00065074271482136,0.0156200463263834,0.0127079443296627,0.0197042882827042,0,0.0116823014075206,0.0114026006743759,0.0169717094348079,0.021995876357304,0.0141620335965826,0.000264088031033803,0,0.0170128734003573,0.010246142433217,0.0114617027268357,0.000821654193680777,0,0,0,0.0126958139075093,0.0119327120596925,0,0.0121874413619695,0.0154672126774685,0,0,0,0
"E05000291",0,0.0048487510907363,0.0110632652737314,0.0509291563267567,0.0495227713393383,0.0442947874548151,0.0360291879557313,0.0724049944258948,0.0311418975572688,0.0657143882179228,0.0806859003245548,0.0426436393671638,0.0315717331168253,0.0263671292279666,0.0319924351574004,0.0379943366461528,0.0450004135537772,0.0125292864325465,0.0243012643800639,0.0298179282416191,0.0240717718997147,0.0286479977177235,0.0292302908566456,0.0236279595345567,0.0283827951690367,0.0310765248766905,0.0522791194286996,0.0247993317212644,0.0403605865101726,0.0307532680728529
"E05000293",0,0,0.00063107285495752,0.0162186546772916,0.0199809337760227,0.0226065869421258,0,0.0189961872560859,0.0153451692247107,0.0236351194535029,0.0301301975688788,0.0132670042848653,0.000340684571651922,0,0.0306222012015926,0.0171421983031844,0.0206066470378365,0.000680405422959923,0,0,0,0.016778545626901,0.0127145733392106,0,0.0230369377062596,0.0296888758776535,0,0,0,0
"E05000295",0,0,0,0.0619492522123123,0.00505390319636241,0.0564972070157329,0.050420910991696,0.065632142002247,0.00501315308662638,0.0058432321758308,0.00648450441160492,0.0561939526656307,0.0421441232298328,0.0291268474070379,0.00663663229974615,0.00365364401057784,0.00438935622749662,0,0.0147845087432795,0.0387524380209835,0.0218231539098724,0.00686072833067997,0.00523809460787254,0.0199043619139733,0.00348564353062911,0.00607166985874031,0.0317703730069863,0.013854912277407,0.0260095567518714,0.0201349239389752
"E05000304",0,0,0,0.0227050656949349,0.0149947746709164,0.0147532113215424,0.0106544203718316,0.0394399369423401,0.0106532475271571,0.0190190357307258,0.0229955322009862,0.01311743109013,0.010230268092168,0.00874469108044707,0.0235574143110314,0.0106567386203063,0.0129618449620939,0.000167227444397706,0.00851891758758019,0.0100630406478712,0.0078046625522861,0.0126458287080968,0.0102351789163676,0.00787346753681726,0.0174769990951756,0.022721277088589,0.0305961266303773,0.00998604805392246,0.0263646166703842,0.0219330893939572
"E05000285",0,0,0.000469882804581605,0,0.0208819492716588,0,0,0,0.0126506035280548,0.0271533100883572,0.0381890388096229,0,0,0,0.0112384545797088,0.0149857874406153,0.0185028740865481,0.00113410641629393,0,0,0,0.0111893676567208,0.0119363523020961,0,0.0085441934982867,0.0109442813386494,0,0,0,0
