New.ward.code,month,mean_ndvi
E05000523,2013-04,0.473266872902252
E05000524,2013-04,0.5341877184826761
E05000525,2013-04,0.4215120495289274
E05000526,2013-04,0.5214673418090386
E05000527,2013-04,0.4029082563403379
E05000528,2013-04,0.4663390382097711
E05000529,2013-04,0.4430140604892084
E05000530,2013-04,0.5117619689594396
E05000531,2013-04,0.47110119637991804
E05000532,2013-04,0.5348089961291009
E05000533,2013-04,0.45859117954925116
E05000534,2013-04,0.31686571531625785
E05000535,2013-04,0.2740496089053203
E05000536,2013-04,0.146055620162554
E05000537,2013-04,0.2788413702315024
E05000538,2013-04,0.5583325961203733
E05000539,2013-04,0.32924610780083813
E05000540,2013-04,0.3337040229146735
E05000541,2013-04,0.3911571768846165
E05000542,2013-04,0.2298537842731373
E05000543,2013-04,0.2437555576676586
E05000544,2013-04,0.32538634027449953
E05000545,2013-04,0.3919973926457596
E05000546,2013-04,0.3190990293963251
E05000547,2013-04,0.5384610046568885
E05000548,2013-04,0.1278409764047017
E05000549,2013-04,0.31877642586622457
E05000550,2013-04,0.28004207593980185
E05000551,2013-04,0.4481587315358947
E05000552,2013-04,0.18254787225436728
E05000553,2013-04,0.3097498650238303
E05000554,2013-04,0.5296754561508897
E05000555,2013-04,0.4413408443173959
E05000556,2013-04,0.533607858208215
E05000557,2013-04,0.5055545808000624
E05000558,2013-04,0.4908974768255171
E05000559,2013-04,0.6186617504964663
E05000560,2013-04,0.5516707788222903
E05000561,2013-04,0.46905157964465644
E05000562,2013-04,0.4684798627169246
E05000563,2013-04,0.4378016132790038
E05000564,2013-04,0.3309458383253151
E05000565,2013-04,0.49216661594156025
E05000566,2013-04,0.45950828056434256
E05000567,2013-04,0.4835984620677963
E05000568,2013-04,0.45191851613845985
E05000569,2013-04,0.46907485208035216
E05000570,2013-04,0.46087597707463895
E05000571,2013-04,0.4880598588043647
E05000572,2013-04,0.4597169116638273
E05000573,2013-04,0.25175765562622654
E05000574,2013-04,0.2607788563598923
E05000575,2013-04,0.12552221204868114
E05000576,2013-04,0.30437109335248785
E05000577,2013-04,0.4123315505977621
E05000578,2013-04,0.22066899799453363
E05000579,2013-04,0.22658311399764258
E05000580,2013-04,0.24927398012769406
E05000581,2013-04,0.3003635803817813
E05000582,2013-04,0.3215459067272364
E05000583,2013-04,0.11359199438473971
E05000584,2013-04,0.28993830026606593
E05000585,2013-04,0.11750975212119123
E05000586,2013-04,0.17276339524668313
E05000587,2013-04,0.17838389886532227
E05000588,2013-04,0.2840201518661298
E05000589,2013-04,0.19288239691416578
E05000590,2013-04,0.2967853892164685
E05000591,2013-04,0.3132996848533851
E05000592,2013-04,0.4480075274564991
E05000593,2013-04,0.5310213285825289
E05000594,2013-04,0.4628247892422465
E05000595,2013-04,0.40082420603342206
E05000596,2013-04,0.2851931394376583
E05000597,2013-04,0.48570248806232547
E05000598,2013-04,0.5025847328160254
E05000599,2013-04,0.3883726123444262
E05000600,2013-04,0.39309043895890444
E05000601,2013-04,0.3539109946905865
E05000602,2013-04,0.46422985617670454
E05000603,2013-04,0.3846144738955327
E05000604,2013-04,0.3122075258895739
E05000605,2013-04,0.34311977248720776
E05000606,2013-04,0.38492336428887
E05000607,2013-04,0.3906029989882126
E05000608,2013-04,0.307294789719057
E05000609,2013-04,0.44406580076223884
E05000610,2013-04,0.3278713757671903
E05000611,2013-04,0.480641425853662
E05000612,2013-04,0.31180361702647685
E05000613,2013-04,0.4098484081534797
E05000614,2013-04,0.24789578752184466
E05000615,2013-04,0.3958763259757731
E05000616,2013-04,0.2939913021798118
E05000617,2013-04,0.3139501140349664
E05000618,2013-04,0.317242018819241
E05000619,2013-04,0.3795473990276438
E05000620,2013-04,0.26173754531342025
E05000621,2013-04,0.5468458754687053
E05000622,2013-04,0.19326147930483792
E05000623,2013-04,0.24453905253392347
E05000624,2013-04,0.34976917552466646
E05000625,2013-04,0.32792023514784785
E05000626,2013-04,0.37459415507964017
E05000627,2013-04,0.4850076315108306
E05000628,2013-04,0.46846143648022653
E05000629,2013-04,0.453059389438637
E05000630,2013-04,0.3144843233501037
E05000631,2013-04,0.20113729432451674
E05000632,2013-04,0.12667802155309846
E05000633,2013-04,0.21026650303109692
E05000634,2013-04,0.20601029223299006
E05000635,2013-04,0.22495404303459451
E05000636,2013-04,0.161864120950644
E05000637,2013-04,0.46598939174122267
E05000638,2013-04,0.2082576202906038
E05000639,2013-04,0.2920218908449291
E05000640,2013-04,0.3860194086949522
E05000641,2013-04,0.1391712375360387
E05000642,2013-04,0.21669422124418813
E05000643,2013-04,0.4301922668408213
E05000644,2013-04,0.20695196454580433
E05000645,2013-04,0.14014473960558232
E05000646,2013-04,0.14117490657061388
E05000647,2013-04,0.14387504910176038
E05000648,2013-04,0.2502604312307084
E05000649,2013-04,0.11005790629074799
E09000001,2013-04,0.08659969135577746
E05000026,2013-05,
E05000027,2013-05,
E05000028,2013-05,
E05000029,2013-05,
E05000030,2013-05,
E05000031,2013-05,
E05000032,2013-05,
E05000033,2013-05,
E05000034,2013-05,
E05000035,2013-05,
E05000036,2013-05,
E05000037,2013-05,
E05000038,2013-05,
E05000039,2013-05,
E05000040,2013-05,
E05000041,2013-05,
E05000042,2013-05,
E05000043,2013-05,
E05000044,2013-05,
E05000045,2013-05,
E05000046,2013-05,
E05000047,2013-05,
E05000048,2013-05,
E05000049,2013-05,
E05000050,2013-05,
E05000051,2013-05,
E05000052,2013-05,
E05000053,2013-05,
E05000054,2013-05,
E05000055,2013-05,
E05000056,2013-05,
E05000057,2013-05,
E05000058,2013-05,
E05000059,2013-05,
E05000060,2013-05,
E05000061,2013-05,
E05000062,2013-05,
E05000063,2013-05,
E05000064,2013-05,
E05000065,2013-05,
E05000066,2013-05,
E05000067,2013-05,
E05000068,2013-05,
E05000069,2013-05,
E05000070,2013-05,
E05000071,2013-05,
E05000072,2013-05,
E05000073,2013-05,
E05000074,2013-05,
E05000075,2013-05,
E05000076,2013-05,
E05000077,2013-05,
E05000078,2013-05,
E05000079,2013-05,
E05000080,2013-05,
E05000081,2013-05,
E05000082,2013-05,
E05000083,2013-05,
E05000084,2013-05,
E05000085,2013-05,
E05000086,2013-05,
E05000087,2013-05,
E05000088,2013-05,
E05000089,2013-05,
E05000090,2013-05,
E05000091,2013-05,
E05000092,2013-05,
E05000093,2013-05,
E05000094,2013-05,
E05000095,2013-05,
E05000096,2013-05,
E05000097,2013-05,
E05000098,2013-05,
E05000099,2013-05,
E05000100,2013-05,
E05000101,2013-05,
E05000102,2013-05,
E05000103,2013-05,
E05000104,2013-05,
E05000105,2013-05,
E05000106,2013-05,
E05000107,2013-05,
E05000108,2013-05,
E05000109,2013-05,
E05000110,2013-05,
E05000111,2013-05,
E05000112,2013-05,
E05000113,2013-05,
E05000114,2013-05,
E05000115,2013-05,
E05000116,2013-05,
E05000117,2013-05,
E05000118,2013-05,
E05000119,2013-05,
E05000120,2013-05,
E05000121,2013-05,
E05000122,2013-05,
E05000123,2013-05,
E05000124,2013-05,
E05000125,2013-05,
E05000126,2013-05,
E05000127,2013-05,
E05000128,2013-05,
E05000129,2013-05,
E05000130,2013-05,
E05000131,2013-05,
E05000132,2013-05,
E05000133,2013-05,
E05000134,2013-05,
E05000135,2013-05,
E05000136,2013-05,
