New.ward.code,annual_ndvi_2013,months_with_data
E05000455,0.366026633888407,3
E05000456,0.5806759625901524,3
E05000457,0.4005229273133189,3
E05000458,0.5269284139631312,3
E05000459,0.4413849561584082,3
E05000460,0.42746648068329884,3
E05000461,0.40628046410964536,3
E05000462,0.4517805327684375,3
E05000463,0.4156005520631865,3
E05000464,0.4664245000032688,3
E05000465,0.5073449655953615,3
E05000466,0.512817748739394,3
E05000467,0.5797254530941413,3
E05000468,0.5539829373979962,3
E05000469,0.5043971946051146,3
E05000470,0.5607923139723402,3
E05000471,0.4444982812497151,3
E05000472,0.6495079245659258,3
E05000473,0.5139930254041855,3
E05000474,0.4382092917597055,3
E05000475,0.3118032169161306,3
E05000476,0.32236284564712275,3
E05000477,0.31812112644805723,3
E05000478,0.23715976519703463,3
E05000479,0.36083666061541303,3
E05000480,0.3252052246849007,3
E05000481,0.3457093541533678,3
E05000482,0.4167437604663095,3
E05000483,0.4017901153196899,3
E05000484,0.3530036498441422,3
E05000485,0.28411478751697256,3
E05000486,0.28214284437402987,3
E05000487,0.5055405780295938,3
E05000488,0.4298295566078583,3
E05000489,0.35014865412159296,3
E05000490,0.36439253904382624,3
E05000491,0.0940935345427647,3
E05000492,0.24159379787629387,3
E05000493,0.42961489102437905,3
E05000494,0.4084405729367362,3
E05000495,0.5795952615699896,3
E05000496,0.4091632635767442,3
E05000497,0.5515386628536993,3
E05000498,0.4157828980675173,3
E05000499,0.4623306595502963,3
E05000500,0.47184408935463673,3
E05000501,0.3177063467832153,3
E05000502,0.513612000820566,3
E05000503,0.5467024277171363,3
E05000504,0.4804709179082687,3
E05000505,0.4437031025421239,3
E05000506,0.6065006600757016,3
E05000507,0.381198494120425,3
E05000508,0.4488940342641552,3
E05000509,0.601012100988925,3
E05000510,0.4363057616727595,3
E05000511,0.5354213122563638,3
E05000512,0.4195385756680345,3
E05000513,0.5172958088953584,3
E05000514,0.4100785607275974,3
E05000515,0.6356530492510553,3
E05000516,0.5018997017742901,3
E05000517,0.6542319725109488,3
E05000518,0.549287172955363,3
E05000519,0.6707126837810056,3
E05000520,0.6111336968193378,3
E05000521,0.5378716502623995,3
E05000522,0.5600349929849865,3
E05000523,0.5133292084813746,3
E05000524,0.5834050242551422,3
E05000525,0.5122592274989642,3
E05000526,0.571342783042324,3
E05000527,0.47076760966764336,3
