"GSS_CODE","co2","nox","pm10","pm2.5"
"E05000433",0.020446637730465,3.20943999968378e-05,3.86864127453185e-06,2.76047822686954e-06
"E05000430",0.0195430105824419,3.16941743711509e-05,3.50614108712036e-06,3.45757586076151e-06
"E05000418",0.02181803165117,3.67923009115567e-05,4.45314691458966e-06,3.34413403523184e-06
"E05000417",0.0268854448802585,4.76744822132527e-05,4.62589882818488e-06,3.1930901327458e-06
"E05000435",0.0217326511091018,3.77509221307183e-05,4.37055915774138e-06,2.98543587576649e-06
"E05000420",0.0258477585005196,5.69041823063194e-05,5.27520966302238e-06,4.15585407482839e-06
"E05000421",0.0292189042809673,4.98133088197818e-05,4.5847877622033e-06,3.66021911648791e-06
"E05000425",0.0267266452111312,4.62405034386678e-05,4.62280345730541e-06,3.84780925013231e-06
"E05000426",0.030908769505191,7.34270869851969e-05,8.98735793657312e-06,5.38935750942e-06
"E05000436",0.0227283927116139,4.46275129144459e-05,4.69803971416878e-06,3.07945214642355e-06
"E05000422",0.0166096574967469,2.36858976530745e-05,2.91073003659839e-06,3.10011360018353e-06
"E05000434",0.0172736213131588,2.77905210116995e-05,3.9789307064279e-06,2.71700759929349e-06
"E05000423",0.0300519906977763,5.0141210922581e-05,4.48568541173518e-06,3.15428914356466e-06
"E05000416",0.0495110695169275,9.75763685671236e-05,5.98491320342669e-06,5.3487206790835e-06
"E05000419",0.0259287117910418,4.86089363826109e-05,5.27774970862138e-06,4.27618134375263e-06
"E05000429",0.0261828896498764,4.64795984655489e-05,5.05678011665359e-06,3.44283798261225e-06
"E05000427",0.0288393704553953,5.73654476767995e-05,5.13753281733543e-06,3.9075082325151e-06
"E05000538",0.00965789164085879,1.86258763234387e-05,2.70182159302141e-06,1.47682318680241e-06
"E05000548",0.0249304880497273,6.58616017800717e-05,5.75791599311804e-06,3.87091866172424e-06
"E05000554",0.0140379803307934,2.50038335757081e-05,3.60945670082092e-06,2.52307765990272e-06
"E05000551",0.021050048065248,3.22442155321409e-05,3.37085299389794e-06,3.54204565195821e-06
"E05000539",0.0183541438694712,2.90982074574742e-05,3.49095601477829e-06,3.23429077625514e-06
"E05000547",0.0133013537796932,2.17370810130569e-05,2.2895049696565e-06,2.21304505708664e-06
"E05000535",0.0293753018231135,5.53768511318577e-05,4.9851433739572e-06,3.49248100532102e-06
"E05000534",0.0277084293844934,4.97177302393391e-05,4.31248318047078e-06,3.22629028429255e-06
"E05000553",0.0233433495757073,4.56479298321115e-05,4.44640743646132e-06,3.35329317292357e-06
"E05000545",0.0168113908909105,3.19595211681882e-05,3.27009051426158e-06,3.06818371086759e-06
"E05000546",0.0227131556716804,4.09590912355653e-05,3.83243525684305e-06,2.54998058896999e-06
"E05000544",0.0306043880815293,6.19377056661868e-05,6.26399012182311e-06,4.31363926207305e-06
"E05000541",0.0270430218509446,5.36827185295635e-05,5.0751755831089e-06,3.3996257748617e-06
"E05000540",0.0286638843508965,6.26537687659672e-05,6.12813343889152e-06,4.09318477975413e-06
"E05000543",0.0209806553706234,4.30340470426716e-05,4.94938678720345e-06,3.30234633940648e-06
"E05000550",0.0210398995491042,4.4129164546619e-05,5.0112474730709e-06,3.16723951471186e-06
"E05000536",0.0348338234723973,8.67934451269027e-05,6.18829097003267e-06,5.40567128761782e-06
"E05000542",0.0370170225056963,7.4727419443165e-05,5.90785043678363e-06,4.50742063675739e-06
"E05000549",0.0178475153412034,3.80844253958838e-05,4.82663384710433e-06,3.04066249514999e-06
"E05000552",0.0107472265161096,3.16642503573293e-05,3.15818014256023e-06,1.85066199928137e-06
"E05000537",0.0437952082054216,8.0830920456711e-05,4.97553127011065e-06,4.79942637686919e-06
"E05000437",0.0103478853161198,1.743631562928e-05,2.50037782594601e-06,2.59263431325699e-06
"E05000453",0.022810296933508,4.84001261351828e-05,5.38507946978177e-06,3.15716407181739e-06
"E05000442",0.00955504562574686,1.52579893090729e-05,2.12141272052722e-06,2.40472173876316e-06
"E05000454",0.0112248321505982,1.73556162765329e-05,2.38770610585393e-06,2.50090551432716e-06
"E05000438",0.015775293176156,3.38181999844368e-05,4.23097957133893e-06,2.3484199646219e-06
"E05000452",0.0145422810780915,2.13920623260605e-05,2.74615265374126e-06,2.38758291460805e-06
"E05000444",0.0147871111160332,2.26012285130112e-05,2.84183947072809e-06,2.6056022346004e-06
"E05000450",0.0164692684724157,2.5998455012669e-05,3.63347315488278e-06,3.66856487089515e-06
"E05000451",0.017712981097413,3.57211817285926e-05,4.55506814435163e-06,3.01766165560112e-06
"E05000440",0.0130975083471588,1.85843614891035e-05,2.26633727299816e-06,2.5764270901856e-06
"E05000441",0.0159876175454468,2.53042625406868e-05,3.28608835680166e-06,2.88544447387949e-06
"E05000446",0.0155650127389368,2.70397516253774e-05,3.19008163120409e-06,2.61632375853191e-06
"E05000448",0.0186003151652904,3.74240914929345e-05,4.40646141895429e-06,2.83445851203576e-06
"E05000439",0.0202386565586023,4.24012683301305e-05,4.96709256430045e-06,2.83889522797275e-06
"E05000449",0.110661543200463,0.000127448274162209,4.08251080567905e-06,2.33468685644004e-06
"E05000445",0.0106440934064339,1.62959609885235e-05,2.09855808943713e-06,2.04179293819146e-06
"E05000447",0.0170169366811955,3.14930028336601e-05,4.55525773108584e-06,2.89156800569908e-06
"E05000443",0.141978607690563,0.000156247206723023,3.11585904420101e-06,1.68487476914896e-06
"E05000224",0.010956447534036,2.38765740777988e-05,3.56725617764679e-06,2.14027417832673e-06
"E05000217",0.0111219528083839,1.91662991201492e-05,2.99234951707242e-06,2.39339199770679e-06
"E05000219",0.00799949744214394,1.61016698316908e-05,2.1889605188505e-06,1.62240506557071e-06
"E05000227",0.00822306451384289,1.36861459353927e-05,1.68409905212974e-06,2.01783241077312e-06
"E05000225",0.0164717944521423,5.75271675346359e-05,5.96462942633654e-06,5.45535622681857e-06
"E05000230",0.0123815741875135,3.24486364912521e-05,3.09499044659333e-06,2.44700141335113e-06
"E05000222",0.0184896001329581,4.0495135798152e-05,5.29850016357798e-06,3.64203620615507e-06
"E05000220",0.0150262716189016,3.64493679488523e-05,5.73618343868454e-06,3.46595825238314e-06
"E05000215",0.0170972501970535,3.63099633226721e-05,5.28207201079565e-06,3.00198292875185e-06
"E05000223",0.0116010553389214,2.20773593687859e-05,3.20144360048916e-06,2.23969460090206e-06
"E05000218",0.0127159612200257,2.74149567942392e-05,3.89101955518406e-06,3.13106546454575e-06
"E05000216",0.0151984624746868,3.30700497382475e-05,4.2191453592889e-06,3.12572342079683e-06
"E05000229",0.0132888339370681,2.57988641766613e-05,2.71782923382768e-06,2.2124801812345e-06
"E05000226",0.0106285495393022,1.73701987936699e-05,2.12848612668041e-06,2.56904488482377e-06
"E05000221",0.0146600827228402,2.78161372124095e-05,3.06243206523658e-06,2.68904282991235e-06
"E05000228",0.00788637376929965,1.89230338447578e-05,1.56605464419235e-06,9.08022944832866e-07
"E05000214",0.00957881548088999,1.89225413936055e-05,2.79370801555718e-06,2.23607846414779e-06
"E05000078",0.0126510826513457,5.3707405932631e-05,2.94908314651577e-06,2.41886772845802e-06
"E05000066",0.0125392444517087,1.93161695364492e-05,2.68508276252616e-06,2.78163508273174e-06
"E05000072",0.00500259232232537,1.40604776952123e-05,1.41309246621503e-06,1.07348336124001e-06
"E05000083",0.0103686847731397,1.8959064551612e-05,2.07918083316133e-06,2.14662835521378e-06
"E05000081",0.00830308776090117,1.74553252435573e-05,2.42838013256403e-06,1.66115365604892e-06
"E05000071",0.0074463948803612,1.66086245841475e-05,2.28329273127759e-06,1.84224984821473e-06
"E05000079",0.00378901684493663,9.41601127669592e-06,1.07545570260078e-06,1.5103074055248e-06
"E05000075",0.0112447919861113,5.22141478051251e-05,2.01169266120544e-06,3.64864706339975e-06
"E05000065",0.00793600398337926,2.22128300376992e-05,1.45611314926488e-06,1.87637096125147e-06
"E05000084",0.0061923365603599,1.51360433917615e-05,1.15109489221073e-06,6.58475919904069e-07
"E05000076",0.0128826490816261,2.02795432551483e-05,2.75664621507163e-06,3.20016041286433e-06
"E05000074",0.00941646393451414,1.35746591925408e-05,1.87244080315685e-06,2.61890785228559e-06
"E05000067",0.0120734511894822,2.33034530441207e-05,3.51609377786081e-06,2.59044467860788e-06
"E05000073",0.0122167506977566,2.3324984824759e-05,3.46987266768599e-06,2.73544363323808e-06
"E05000069",0.0144100029188968,3.04156696175173e-05,4.12002737278337e-06,2.86069663688232e-06
"E05000082",0.011004555039485,1.37287037359068e-05,1.7606056063583e-06,2.71533759706565e-06
"E05000068",0.0105481506535922,1.54696421924047e-05,2.10549274866783e-06,2.74618452758693e-06
"E05000080",0.00963099278497288,1.36453508842037e-05,1.7747928468305e-06,2.36369299125309e-06
"E05000064",0.008756657847566,1.63355268506846e-05,2.11431131396941e-06,1.85994929029851e-06
"E05000070",0.0104562548066861,1.83549829481148e-05,2.26771126339848e-06,2.42275429179087e-06
"E05000077",0.00905011510516547,1.38923269885878e-05,1.88302127145152e-06,1.75533165141566e-06
"E05000195",0.00881204324777119,2.53478381034358e-05,3.51025750938398e-06,1.45426410381184e-06
"E05000213",0.0117903624292849,1.63785975874889e-05,2.40130758612545e-06,2.16715239725572e-06
"E05000196",0.00462831076564961,8.68446162656656e-06,1.20343341189252e-06,8.11851480655201e-07
"E05000202",0.00617683405676254,1.018489551663e-05,1.25523695433331e-06,9.81951864505613e-07
"E05000212",0.0521833694194568,9.33740499125642e-05,5.54877733259857e-06,3.5797519563975e-06
"E05000205",0.0157721960088738,3.88725359857321e-05,3.43899695342799e-06,2.78119162167834e-06
"E05000197",0.144330354271565,0.000183399052891915,4.25217584985837e-06,4.04863792123655e-06
"E05000204",0.00905042697209294,5.26060997286176e-05,1.9913262625768e-06,1.81817414658111e-06
"E05000200",0.0100035133890146,1.69726596618334e-05,2.2688331239318e-06,1.84492642898037e-06
"E05000203",0.00797600323178244,1.49385129723388e-05,1.75661552527913e-06,1.98592490996875e-06
"E05000206",0.0117384650007419,3.29181480827083e-05,2.3490942598555e-06,2.77032489997225e-06
"E05000198",0.0740664469368373,6.23322063675097e-05,2.1024564910228e-06,2.20003381008248e-06
"E05000193",0.0213901649133492,4.66149712562487e-05,5.99909011886968e-06,3.93647977086023e-06
"E05000209",0.0147679624712009,3.04919989780467e-05,4.74594327789824e-06,2.73064554709444e-06
"E05000208",0.0110955666144913,1.68546994827861e-05,2.42913042829464e-06,2.04978291246209e-06
"E05000201",0.0156429764081683,3.7074035543348e-05,4.2597831376937e-06,3.02427444335145e-06
"E05000194",0.0128669626814131,2.06903718376221e-05,3.14566933086131e-06,2.64310441438134e-06
"E05000210",0.0118729674739494,1.79567293866793e-05,2.30995587557993e-06,2.43063745970973e-06
"E05000207",0.0129226509269601,2.66630633952801e-05,3.77688871110866e-06,2.64208193099946e-06
"E05000211",0.0168915199494598,4.13075456406056e-05,6.04837580364083e-06,3.26683023164377e-06
"E05000199",0.0134507475147826,3.32226862113458e-05,4.5830033867145e-06,2.61221285020061e-06
